Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,PCA1,PCA2,Customer Segment
75,4,1797.24,2,3,4,234,2,1.4665631583552436,0.5235599876220594,VIP Customers
19,1,1757.55,3,1,4,314,0,0.7614248284511613,-0.3907425558767023,Regular Customers
310,1,334.4,1,1,2,112,1,-1.8635797160814467,1.3011249533776497,Lost Customers
36,8,2506.04,3,4,4,344,2,3.52250302236019,1.138313362774766,VIP Customers
204,1,89.0,1,1,1,111,1,-1.5980288788490626,0.25294709893763195,Lost Customers
232,1,1079.4,1,1,3,113,1,-0.8312552431010949,1.0531998383136056,Lost Customers
214,1,459.4,1,1,2,112,1,-1.3090937109454954,0.5481867274250241,Lost Customers
23,3,2811.43,3,3,4,334,2,2.3138081394886996,0.5137764761609421,VIP Customers
2,2,1168.06,4,2,3,423,0,0.6154980595501476,-0.7327860867196847,Regular Customers
52,3,2662.06,2,3,4,234,2,2.0453883153766483,0.6781159794204544,VIP Customers
287,1,189.9,1,1,1,111,1,-1.8884721960411377,1.0220904488538882,Lost Customers
110,2,552.0,2,2,2,222,0,-0.4381932346356726,-0.1545693370288233,Regular Customers
8,4,1313.1,4,3,3,433,2,1.3368992986295378,-0.32501958241959006,VIP Customers
291,2,641.38,1,2,2,122,1,-1.1897095286344492,1.4488392288208356,Lost Customers
4,1,168.9,4,1,1,411,0,-0.6060752298756424,-1.4177488858631682,Regular Customers
45,2,1887.96,3,2,4,324,2,1.068704034418296,0.043200841467753534,VIP Customers
72,3,1298.04,2,3,3,233,0,0.7200529083763252,0.0784069093705409,Regular Customers
311,1,364.6,1,1,2,112,1,-1.840871016653526,1.3267811801934508,Lost Customers
25,1,742.9300000000001,3,1,3,313,0,-0.1835990419913277,-0.9129917597345464,Regular Customers
11,2,457.5,4,2,2,422,0,-0.06838639182120634,-1.0573638420612688,Regular Customers
315,2,1628.1200000000001,1,2,3,123,1,-0.40785117220112,2.2127048677900936,Lost Customers
82,2,852.24,2,2,3,223,0,-0.03795332058032364,-0.22501873816629914,Regular Customers
22,4,2724.81,3,3,4,334,2,2.5490064324167414,0.5933551427578951,VIP Customers
5,5,1845.31,4,3,4,434,2,2.1408488326268196,0.08732299686924007,VIP Customers
185,5,1850.56,1,3,4,134,2,1.3178596286217328,1.6345801598422274,VIP Customers
29,2,585.27,3,2,2,322,0,-0.03562872080604302,-0.8306863609231486,Regular Customers
338,2,401.9,1,2,2,122,1,-1.6223816242646127,1.7166541186487942,Lost Customers
16,6,2780.66,4,4,4,444,2,3.2449433297633075,0.8477358377770088,VIP Customers
80,1,549.84,2,1,2,212,0,-0.6111129745550241,-0.5503102061096917,Regular Customers
22,1,439.66,3,1,2,312,0,-0.4440241327413629,-1.1102164960481722,Regular Customers
72,4,1582.6000000000001,2,3,3,233,2,1.2862784715281215,0.37645183677616917,VIP Customers
64,2,1272.48,2,2,3,223,0,0.4248068099818045,-0.1418193152970435,Regular Customers
36,2,2409.9,3,2,4,324,2,1.5820358175290183,0.2611218174916769,VIP Customers
46,1,1635.6599999999999,3,1,3,313,0,0.5270498496076688,-0.2280230146443174,Regular Customers
119,4,1108.65,2,3,3,233,0,0.6415955386215805,0.5116836757791254,Regular Customers
303,1,84.3,1,1,1,111,1,-2.0575336576801475,1.0996481223227867,Lost Customers
323,1,225.60000000000002,1,1,1,111,1,-2.021739054150866,1.351135017931133,Lost Customers
50,1,427.7,3,1,2,312,0,-0.5835975045097068,-0.8767567230429452,Regular Customers
149,1,1710.39,1,1,4,114,0,0.12097257400230295,0.697909898506578,Regular Customers
50,5,1708.12,3,3,4,334,2,1.8098657616341995,0.39581987388412126,VIP Customers
33,5,2888.55,3,3,4,334,2,2.955401086712672,0.9174545625581458,VIP Customers
309,2,693.3299999999999,1,2,3,123,1,-1.225509292183601,1.6326436476757142,Lost Customers
75,3,1226.88,2,3,3,233,0,0.6419135013168582,0.06390702538986237,Regular Customers
